state,municipality,district,subdistrict,id
MG,Uberaba,Uberaba,São Benedito,31701070522
MG,Uberaba,Uberaba,Abadia,31701070523
MG,Uberaba,Uberaba,Leblon,31701070524
MG,Uberaba,Uberaba,Costa Teles,31701070525
MG,Uberaba,Uberaba,Lourdes,31701070526
MG,Uberaba,Uberaba,Jochey Park,31701070527
MG,Uberaba,Uberaba,Parque das Américas,31701070528
MG,Uberaba,Uberaba,São Cristóvão,31701070529
MG,Uberaba,Uberaba,Vallim,31701070530
MG,Uberaba,Uberaba,Santa Clara,31701070531
MG,Uberaba,Uberaba,2000,31701070532
MG,Uberaba,Uberaba,São Geraldo,31701070533
MG,Uberaba,Uberaba,Recreio dos Bandeirantes,31701070534
MG,Uberaba,Uberaba,Maracanã,31701070535
MG,Uberaba,Uberaba,Vila Real,31701070536
MG,Uberlândia,Uberlândia,,31702060500
MG,Uberlândia,Cruzeiro dos Peixotos,,31702061000
MG,Uberlândia,Martinésia,,31702061500
MG,Uberlândia,Miraporanga,,31702062000
MG,Uberlândia,Tapuirama,,31702062500
MG,Umburatiba,Umburatiba,,31703050500
MG,Unaí,Unaí,,31704040500
MG,Unaí,Garapuava,,31704041500
MG,Unaí,Pedras de Marilândia,,31704041700
MG,Unaí,Palmeirinha,,31704041800
MG,Unaí,Ruralminas,,31704041900
MG,Unaí,Santo Antônio do Boqueirão,,31704042000
MG,União de Minas,União de Minas,,31704380500
MG,Uruana de Minas,Uruana de Minas,,31704790500
MG,Urucânia,Urucânia,,31705030500
MG,Urucânia,Bom Jesus de Cardosos,,31705031000
MG,Urucuia,Urucuia,,31705290500
MG,Vargem Alegre,Vargem Alegre,,31705780500
MG,Vargem Bonita,Vargem Bonita,,31706020500
MG,Vargem Grande do Rio Pardo,Vargem Grande do Rio Pardo,,31706510500
MG,Varginha,Varginha,,31707010500
MG,Varjão de Minas,Varjão de Minas,,31707500500
MG,Várzea da Palma,Várzea da Palma,,31708000500
MG,Várzea da Palma,Guaicuí,,31708001000
MG,Varzelândia,Varzelândia,,31709090500
MG,Varzelândia,Brejo do Mutambal,,31709091200
MG,Varzelândia,Campo Redondo,,31709091500
MG,Vazante,Vazante,,31710060500
MG,Vazante,Claro de Minas,,31710061000
MG,Verdelândia,Verdelândia,,31710300500
MG,Veredinha,Veredinha,,31710710500
MG,Veredinha,Mendonça,,31710711500
MG,Veríssimo,Veríssimo,,31711050500
MG,Vermelho Novo,Vermelho Novo,,31711540500
MG,Vespasiano,Vespasiano,,31712040500
MG,Viçosa,Viçosa,,31713030500
MG,Viçosa,Silvestre,,31713031000
MG,Viçosa,Cachoeira de Santa Cruz,,31713031500
MG,Viçosa,São José do Triunfo,,31713032500
MG,Vieiras,Vieiras,,31714020500
MG,Vieiras,Santo Antônio do Glória,,31714021000
MG,Mathias Lobato,Mathias Lobato,,31715010500
MG,Virgem da Lapa,Virgem da Lapa,,31716000500
MG,Virgem da Lapa,São João do Vacaria,,31716002000
MG,Virgínia,Virgínia,,31717090500
MG,Virginópolis,Virginópolis,,31718080500
MG,Virgolândia,Virgolândia,,31719070500
MG,Virgolândia,Divino de Virgolândia,,31719071000
MG,Visconde do Rio Branco,Visconde do Rio Branco,,31720040500
MG,Volta Grande,Volta Grande,,31721030500
MG,Volta Grande,Trimonte,,31721031000
MG,Wenceslau Braz,Wenceslau Braz,,31722020500
MG,Wenceslau Braz,Itererê,,31722021000
ES,Afonso Cláudio,Afonso Cláudio,,32001020500
ES,Afonso Cláudio,Fazenda Guandu,,32001021300
ES,Afonso Cláudio,Ibicaba,,32001021500
ES,Afonso Cláudio,Mata Fria,,32001022800
ES,Afonso Cláudio,Piracema,,32001023000
ES,Afonso Cláudio,Pontões,,32001023500
ES,Afonso Cláudio,São Francisco Xavier do Guandu,,32001023700
ES,Afonso Cláudio,São Luís de Boa Sorte,,32001023900
ES,Afonso Cláudio,Serra Pelada,,32001024000
ES,Águia Branca,Águia Branca,,32001360500
ES,Águia Branca,Águas Claras,,32001361000
ES,Água Doce do Norte,Água Doce do Norte,,32001690500
ES,Água Doce do Norte,Governador Lacerda de Aguiar,,32001691000
ES,Água Doce do Norte,Santa Luzia do Azul,,32001691500
ES,Água Doce do Norte,Santo Agostinho,,32001692000
ES,Água Doce do Norte,Vila Nelita,,32001693000
ES,Alegre,Alegre,,32002010500
ES,Alegre,Anutiba,,32002011000
ES,Alegre,Araraí,,32002011500
ES,Alegre,Café,,32002012000
ES,Alegre,Celina,,32002012500
ES,Alegre,Rive,,32002013500
ES,Alegre,Santa Angélica,,32002014000
ES,Alegre,São João do Norte,,32002014500
ES,Alfredo Chaves,Alfredo Chaves,,32003000500
ES,Alfredo Chaves,Crubixá,,32003001000
ES,Alfredo Chaves,Ibitiruí,,32003001500
ES,Alfredo Chaves,Matilde,,32003002000
ES,Alfredo Chaves,Ribeirão do Cristo,,32003002500
ES,Alfredo Chaves,Sagrada Família,,32003003000
ES,Alfredo Chaves,Urânia,,32003003500
ES,Alto Rio Novo,Alto Rio Novo,,32003590500
ES,Alto Rio Novo,Monte Carmelo do Rio Novo,,32003591500
ES,Alto Rio Novo,Palmerino,,32003592000
ES,Anchieta,Anchieta,,32004090500
ES,Anchieta,Alto Pongal,,32004091000
ES,Anchieta,Jabaquara,,32004091500
ES,Apiacá,Apiacá,,32005080500
ES,Apiacá,Bonsucesso,,32005080700
ES,Apiacá,José Carlos,,32005081000
ES,Aracruz,Aracruz,,32006070500
ES,Aracruz,Guaraná,,32006071000
ES,Aracruz,Jacupemba,,32006071200
ES,Aracruz,Riacho,,32006071500
ES,Aracruz,Santa Cruz,,32006072000
ES,Atilio Vivacqua,Atilio Vivacqua,,32007060500
ES,Baixo Guandu,Baixo Guandu,,32008050500
ES,Baixo Guandu,Alto Mutum Preto,,32008051000
ES,Baixo Guandu,Ibituba,,32008051500
ES,Baixo Guandu,Quilômetro 14 do Mutum,,32008052000
ES,Baixo Guandu,Vila Nova de Bananal,,32008052500
ES,Barra de São Francisco,Barra de São Francisco,,32009040500
ES,Barra de São Francisco,Cachoeirinha de Itaúna,,32009041500
ES,Barra de São Francisco,Itaperuna,,32009042500
ES,Barra de São Francisco,Monte Senir,,32009042700
ES,Barra de São Francisco,Monte Sinai,,32009043000
ES,Barra de São Francisco,Paulista,,32009043500
ES,Barra de São Francisco,Poranga,,32009044000
ES,Barra de São Francisco,Santo Antônio,,32009045000
ES,Barra de São Francisco,Vargem Alegre,,32009045600
ES,Boa Esperança,Boa Esperança,,32010010500
ES,Boa Esperança,Santo Antônio do Pousalegre,,32010014000
ES,Boa Esperança,São José do Sobradinho,,32010014500
ES,Bom Jesus do Norte,Bom Jesus do Norte,,32011000500
ES,Brejetuba,Brejetuba,,32011590500
ES,Brejetuba,Santa Rita de Brejetuba,,32011591800
ES,Brejetuba,São Jorge de Oliveira,,32011592000
ES,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,,32012090500
ES,Cachoeiro de Itapemirim,Burarama,,32012091000
ES,Cachoeiro de Itapemirim,Conduru,,32012091500
ES,Cachoeiro de Itapemirim,Córrego dos Monos,,32012091600
ES,Cachoeiro de Itapemirim,Coutinho,,32012091700
ES,Cachoeiro de Itapemirim,Gironda,,32012091800
ES,Cachoeiro de Itapemirim,Gruta,,32012091900
ES,Cachoeiro de Itapemirim,Itaoca,,32012092000
ES,Cachoeiro de Itapemirim,Pacotuba,,32012093000
ES,Cachoeiro de Itapemirim,São Vicente,,32012093600
ES,Cachoeiro de Itapemirim,Vargem Grande do Soturno,,32012094000
ES,Cariacica,Cariacica,,32013080500
ES,Cariacica,Itaquari,,32013081000
ES,Castelo,Castelo,,32014070500
ES,Castelo,Estrela do Norte,,32014071500
ES,Castelo,Limoeiro,,32014072300
ES,Castelo,Monte Pio,,32014072500
ES,Castelo,Patrimônio do Ouro,,32014073000
