UF,Município,Nome Município,Distrito,Nome Distrito,Subdistrito,Nome Subdistrito,Arquivo
MG,3101607,Alfenas,10,Barranco Alto,00,,31016071000
MG,3101631,Alfredo Vasconcelos,05,Alfredo Vasconcelos,00,,31016310500
MG,3101631,Alfredo Vasconcelos,25,São José de Pouso Alegre,00,,31016312500
MG,3101706,Almenara,05,Almenara,00,,31017060500
MG,3101706,Almenara,20,Pedra Grande,00,,31017062000
MG,3101805,Alpercata,05,Alpercata,00,,31018050500
MG,3101904,Alpinópolis,05,Alpinópolis,00,,31019040500
MG,3102001,Alterosa,05,Alterosa,00,,31020010500
MG,3102001,Alterosa,10,Divino Espírito Santo,00,,31020011000
MG,3102050,Alto Caparaó,05,Alto Caparaó,00,,31020500500
MG,3102100,Alto Rio Doce,05,Alto Rio Doce,00,,31021000500
MG,3102100,Alto Rio Doce,10,Abreus,00,,31021001000
MG,3102100,Alto Rio Doce,15,Missionário,00,,31021001500
MG,3102100,Alto Rio Doce,20,Vitorinos,00,,31021002000
MG,3102209,Alvarenga,05,Alvarenga,00,,31022090500
MG,3102308,Alvinópolis,05,Alvinópolis,00,,31023080500
MG,3102308,Alvinópolis,07,Barretos de Alvinópolis,00,,31023080700
MG,3102308,Alvinópolis,10,Fonseca,00,,31023081000
MG,3102308,Alvinópolis,15,Major Ezequiel,00,,31023081500
MG,3102407,Alvorada de Minas,05,Alvorada de Minas,00,,31024070500
MG,3102407,Alvorada de Minas,10,Itapanhoacanga,00,,31024071000
MG,3102506,Amparo do Serra,05,Amparo do Serra,00,,31025060500
MG,3102506,Amparo do Serra,10,Padre Felisberto,00,,31025061000
MG,3102605,Andradas,05,Andradas,00,,31026050500
MG,3102605,Andradas,10,Gramínea,00,,31026051000
MG,3102605,Andradas,15,Campestrinho,00,,31026051500
MG,3102704,Cachoeira de Pajeú,05,Cachoeira de Pajeú,00,,31027040500
MG,3102704,Cachoeira de Pajeú,10,Águas Altas,00,,31027041000
MG,3102803,Andrelândia,05,Andrelândia,00,,31028030500
MG,3102852,Angelândia,05,Angelândia,00,,31028520500
MG,3102902,Antônio Carlos,05,Antônio Carlos,00,,31029020500
MG,3102902,Antônio Carlos,06,Curral Novo de Minas,00,,31029020600
MG,3102902,Antônio Carlos,07,Dr. Sá Fortes,00,,31029020700
MG,3102902,Antônio Carlos,15,São Sebastião de Campolide,00,,31029021500
MG,3103009,Antônio Dias,05,Antônio Dias,00,,31030090500
MG,3103009,Antônio Dias,10,Hematita,00,,31030091000
MG,3103108,Antônio Prado de Minas,05,Antônio Prado de Minas,00,,31031080500
MG,3103207,Araçaí,05,Araçaí,00,,31032070500
MG,3103306,Aracitaba,05,Aracitaba,00,,31033060500
MG,3103405,Araçuaí,05,Araçuaí,00,,31034050500
